gene_names	ID	CpG_logFC	Gene_logFC	Gene_P.value	AveExpr	Gene_log2_P.value
ACAP1	17_7253060	DOWN	-0.1850604920289749	0.46272307641362764	36.113043391337925	1.1117790456981547
ACAP1	17_7238218	"NA"	-0.1850604920289749	0.46272307641362764	36.113043391337925	1.1117790456981547
ACER3	11_76566181	DOWN	0.3636511183959561	0.09373404127100068	21.386202617472236	3.4152831050283865
ACLY	17_40058447	"NA"	0.08557460188386834	0.565541310463911	43.0079220412038	0.8222956838912598
ACOT11	1_55000713	"NA"	-0.4150549519421798	0.343008676715842	15.339819438803984	1.5436830237470303
ACPL2	3_140945205	"NA"	0	1	0	-0
ACSF2	17_48535173	DOWN	-0.2880083055589555	0.250894515068289	10.151724875764621	1.9948471632804696
ACTG1	17_79477581	"NA"	-0.021198194984666685	0.9053062872699809	269.6999583569277	0.14352212106964415
ACTL6A	3_179278890	"NA"	0.04234719355721417	0.7881182651720027	16.959130959062765	0.34351595787723344
ACTN4	19_39135953	"NA"	0.13586718558102362	0.4418744099375229	84.70993552353124	1.1782917114847666
ACTR3B	7_152450889	"NA"	0.11056126550043643	0.6419467896173251	4.245305067040584	0.6394743762573345
ACTR5	20_37372292	"NA"	-0.0217025222574998	0.893320958066229	7.722607555172075	0.16274948570245024
ACTRT2	1_2927637	"NA"	-0.34164159464583044	0.14033100668237783	0.0594555035339996	2.8330942816205624
ACVRL1	12_52283133	DOWN	0.08308222029954893	0.9063925929715508	1.3027778640218142	0.14179202336582086
AD000671.6	19_36230209	"NA"	0	1	0	-0
AD000684.2	19_35751275	"NA"	0	1	0	-0
ADAM17	2_9689098	"NA"	0.009353595940088333	0.9611498087583774	24.25987613130406	0.0571667819855363
ADI1	2_3517384	"NA"	0.14319192064048814	0.4151617440477433	17.779976731765572	1.2682545852363747
ADIPOR2	12_1796050	"NA"	0.03740693031750553	0.7783809441988636	25.886441260745926	0.3614517034300975
ADM	11_10325114	"NA"	0.045407231910327694	0.9473891152318952	1.3900258652939284	0.07797099832289654
ADM5	19_50180194	DOWN	-0.9830119739701604	0.008860567826026563	3.236310756227132	6.818385128371297
ADM5	19_50180194	DOWN	-0.9830119739701604	0.008860567826026563	3.236310756227132	6.818385128371297
ADPGK	15_73072205	"NA"	0.30497380796715756	0.012739184852969331	47.19362596714361	6.294583223499412
ADPGK-AS1	15_73072205	"NA"	0.1983485197421735	0.33001149656083717	4.174943887112561	1.599411810590813
ADPRH	3_119295533	"NA"	0.49148926511631474	0.12511691909231323	7.136745183670478	2.998651201945362
ADRA2B	2_96780361	"NA"	-1.578335216378346	0.017532220627811578	0.20482686601760686	5.8338474506177445
ADRBK1	11_67039530	"NA"	0	1	0	-0
AE000658.27	14_22065499	"NA"	0	1	0	-0
AEBP1	7_44139252	"NA"	-0.7964814372215501	0.21274772461172892	8.824666962572229	2.2327843928653337
AEN	15_89161102	"NA"	-0.013936741055501578	0.945230679869381	12.73741880224003	0.08126163847330639
AF196779.1	X_49051482	"NA"	0	1	0	-0
AF196779.12	X_48935142	"NA"	0	1	0	-0
AF196970.3	X_48589819	"NA"	0	1	0	-0
AF213884.3	4_103485281	"NA"	0	1	0	-0
AGAP2	12_58130768	"NA"	-0.03852609453485378	0.8919515331729961	19.076904268634664	0.1649627757178633
AGAP2	12_58134516	"NA"	-0.03852609453485378	0.8919515331729961	19.076904268634664	0.1649627757178633
AGAP2-AS1	12_58107250	"NA"	0.4131586687258275	0.20391014590464282	1.4497900525762222	2.293994533941133
AGK	7_141249571	"NA"	0.224257991084845	0.14570591577583297	15.607912076812097	2.7788686417320343
AGO4	1_36261113	"NA"	-0.007704703950162539	0.9686623388854952	45.86448849226751	0.04593424339635699
AGPAT1	6_32144835	"NA"	0.04425870514127883	0.7779896651097069	19.60336815262726	0.3621771044496832
AGPAT1	6_32097279	DOWN	0.04425870514127883	0.7779896651097069	19.60336815262726	0.3621771044496832
AGPAT1	6_32097279	DOWN	0.04425870514127883	0.7779896651097069	19.60336815262726	0.3621771044496832
AGPAT1	6_32097279	DOWN	0.04425870514127883	0.7779896651097069	19.60336815262726	0.3621771044496832
AGPAT1	6_32097279	DOWN	0.04425870514127883	0.7779896651097069	19.60336815262726	0.3621771044496832
AGPAT1	6_32097279	DOWN	0.04425870514127883	0.7779896651097069	19.60336815262726	0.3621771044496832
AGPAT1	6_32097279	DOWN	0.04425870514127883	0.7779896651097069	19.60336815262726	0.3621771044496832
AGPAT1	6_32097279	DOWN	0.04425870514127883	0.7779896651097069	19.60336815262726	0.3621771044496832
AGPAT2	9_139571983	DOWN	0.13392795833822735	0.5924244936952539	14.748599697526256	0.7552968050334481
AGPAT5	8_6563788	"NA"	-0.2300353218922977	0.38220060567815384	21.89305845613467	1.3875980303130275
AGPS	2_178255995	"NA"	-0.16647134186317292	0.38299637451265645	27.40042511626876	1.3845973593882197
AHCY	20_32874333	"NA"	-0.03900425364345672	0.8599434647605078	28.588594549463096	0.2176862790152928
AHCYL2	7_128853214	"NA"	0.24368774341250088	0.1613212141207734	15.269221197758116	2.6319919261123426
AHDC1	1_27928426	"NA"	-0.3791843948130369	0.2755897468574281	23.02019737891303	1.8594058804050457
AHNAK	11_62320337	"NA"	0.32973817680019124	0.3374608127020011	219.53100763387835	1.5672081145103098
AHNAK	11_62312186	DOWN	0.32973817680019124	0.3374608127020011	219.53100763387835	1.5672081145103098
AIDA	1_222876630	"NA"	0.02902840948268892	0.8594982188174162	7.4088568763191	0.21843344495243006
AIFM3	22_21317189	DOWN	0.21304204998668475	0.6837963755440697	4.792000592606245	0.5483613190865939
AIM1L	1_26677864	"NA"	0	1	0	-0
AIRE	21_45697783	DOWN	-0.08374418491480617	0.8904040354480433	0.49158999532736775	0.16746796367684436
AKAP1	17_55160977	"NA"	-0.09557591072508309	0.5655018652626596	16.67601883759636	0.8223963120502491
AKAP10	17_19879250	"NA"	0.007353085123212644	0.9626359255343662	24.79778100988757	0.054937829258460094
AKR1A1	1_46012546	"NA"	-0.05795120260539388	0.7503597362262872	22.44162558609662	0.41434567895454855
AKTIP	16_53535280	"NA"	-0.11663832470608027	0.5756232119608327	5.192065699197125	0.7968033250718731
AL109843.1	1_67695072	"NA"	0	1	0	-0
AL121914.1	20_55029819	"NA"	0	1	0	-0
AL122015.1	11_33374700	"NA"	0	1	0	-0
AL133410.1	9_35811240	"NA"	0	1	0	-0
AL139815.1	10_23358315	"NA"	0	1	0	-0
AL157407.1	1_68516578	"NA"	0	1	0	-0
AL157904.1	1_117446540	"NA"	0	1	0	-0
AL158155.1	9_37287516	"NA"	0	1	0	-0
AL162511.1	14_36655638	"NA"	0	1	0	-0
AL162614.1	11_31222623	"NA"	0	1	0	-0
AL356475.1	1_169990454	"NA"	0	1	0	-0
AL359878.1	10_1033144	"NA"	0	1	0	-0
AL365502.1	9_140439831	"NA"	0	1	0	-0
AL512290.1	6_136285224	"NA"	0	1	0	-0
AL512640.1	10_44528303	"NA"	0	1	0	-0
AL590226.1	9_139571983	DOWN	0	1	0	-0
AL662800.2	6_30612762	"NA"	0	1	0	-0
AL669914.1	6_30052641	"NA"	0	1	0	-0
AL731561.2	10_48385632	"NA"	0	1	0	-0
AL731568.1	10_77582893	"NA"	0	1	0	-0
ALAS1	3_52222062	"NA"	-0.11047307232081494	0.6685862194533543	16.205759312479774	0.5808144756951252
ALDH7A1	5_125929950	"NA"	-1.1454707210595183	0.05701077954300224	3.713652196253945	4.132621461323668
ALDH7A1	5_125885478	"NA"	-1.1454707210595183	0.05701077954300224	3.713652196253945	4.132621461323668
ALDH8A1	6_135269327	"NA"	0.15703294337387635	0.7014071095705214	1.135481557118032	0.5116760408433279
ALDOAP1	3_52222062	"NA"	0.17294201973246404	0.6169905155815144	0.3589214032348683	0.6966797825445707
ALKBH7	19_6373599	"NA"	-0.17041887246019272	0.5052767830383144	6.121122717282687	0.9848542037995104
ALOX5	10_45865573	"NA"	0.427546614006717	0.43980293883337684	18.570942478620097	1.1850708503439287
ALOXE3	17_8020450	"NA"	0.23780986218188271	0.6748349747213305	0.16722754851532803	0.5673933486634013
ALX1	12_85672197	DOWN	0.0818471425187397	0.7806656347687997	0.0626882096099939	0.35722333186100247
ALX4	11_44325331	DOWN	-0.27935911035004773	0.45796521593606543	0.9478737694692689	1.1266900701508895
AMDHD2	16_2559272	"NA"	0.15399410833101124	0.5108614893547594	6.318834505189186	0.968995910786048
AMER1	X_63423873	"NA"	-0.14339850493643258	0.4883468333761012	9.261151655242426	1.0340219531203019
AMHR2	12_53815443	"NA"	-0.07435564749733903	0.9074142595163492	0.3491049936448114	0.1401667638609468
AMPD3	11_10325114	"NA"	-0.15911816363879794	0.567829616371839	17.75234783279851	0.8164699970077056
AMZ1	7_2690785	"NA"	0.2525223769266991	0.5428592444102236	2.9553588606478574	0.8813499184328616
ANAPC10	4_146015816	"NA"	-0.07041539905112026	0.6612371631629019	5.080293871184108	0.5967602849514138
ANAPC13	3_134201514	"NA"	0.018947095009282044	0.9067854803928339	14.181908524871005	0.14116680430817796
ANAPC16	10_73975361	"NA"	0.14620014981260532	0.2501942525831814	20.3080380605766	1.9988794463307915
ANAPC2	9_140081558	"NA"	-0.09251249964605801	0.634634882327691	22.895878038059195	0.6560012745802525
ANAPC2	9_140065321	DOWN	-0.09251249964605801	0.634634882327691	22.895878038059195	0.6560012745802525
ANGPT2	8_6418661	DOWN	0.15294183553658636	0.6503112086966769	5.070499726246499	0.6207978047525089
ANGPT2	8_6418661	DOWN	0.15294183553658636	0.6503112086966769	5.070499726246499	0.6207978047525089
ANGPT2	8_6418661	DOWN	0.15294183553658636	0.6503112086966769	5.070499726246499	0.6207978047525089
ANGPT2	8_6418661	DOWN	0.15294183553658636	0.6503112086966769	5.070499726246499	0.6207978047525089
ANKRD13D	11_67039530	"NA"	-0.04045084173319058	0.8623070609697092	45.79363802768667	0.21372640137895746
ANKRD17	4_74119805	"NA"	-0.05697969286412352	0.6552810377915483	58.33791234757548	0.6098143105725711
ANKRD24	19_4151586	"NA"	0.1058070944458579	0.7935057103845963	1.6455414328150584	0.33368748957876987
ANKRD27	19_33164472	"NA"	-0.2704599501721452	0.35659681092898043	29.77063715010179	1.4876342939926481
ANKRD33	12_52283133	DOWN	0.11293043496819077	0.8147601336998713	0.08811003369662193	0.29555270407862366
ANKRD34A	1_145451473	"NA"	-0.7746238294826986	0.5220099563961846	4.654176838934328	0.9378507710301034
ANKRD35	1_145546608	"NA"	1.293606555367419	0.02559932258205663	0.8811116277400632	5.287750556129071
ANKRD40	17_48781239	"NA"	-0.11205209313901854	0.4228660661624448	19.800376430904475	1.2417273021806285
ANKRD44	2_198059736	"NA"	0.1211359911151284	0.6249768689701976	33.38760418420362	0.6781252997358804
ANKRD44	2_198168306	"NA"	0.1211359911151284	0.6249768689701976	33.38760418420362	0.6781252997358804
ANKRD53	2_71202287	DOWN	-0.19733371877576406	0.5618606003289721	0.9229151210816766	0.8317158579647278
ANKRD63	15_40566825	"NA"	-0.18608741632279135	0.7186654306511203	1.027028875083089	0.4766078038854214
ANKRD7	7_117852760	"NA"	0.43555380668371146	0.5728022091967919	0.14300467324019267	0.8038910380549035
ANKRD9	14_102975138	"NA"	0.14981012540683425	0.7180304462573328	4.541092616034144	0.47788307572316163
ANKS6	9_101547875	DOWN	-0.36491816611012995	0.5311610092493817	5.974619454888673	0.9127788477264964
ANKUB1	3_149494370	"NA"	0.20301964377496906	0.5543586434872685	0.9348245939295824	0.8511084619817564
ANKZF1	2_220091728	"NA"	0.002236849530855345	0.9898264354920078	17.841280893244505	0.014752521823753535
ANTXR2	4_81040988	"NA"	0.12171689123511698	0.5692070899828212	33.3020771693202	0.8129744628554474
ANXA11	10_81954077	"NA"	-0.01820876379819758	0.9051063705269212	45.9698839333027	0.14384074333924993
ANXA9	1_150953569	"NA"	-0.028332285125188594	0.898927630427532	4.94356630965264	0.15372312088949883
AOC1	7_150512976	"NA"	-0.3118221762632565	0.7179483648803313	1.2681730369730895	0.4780480062844762
AOC2	17_40991696	DOWN	-0.1750216326871432	0.55029764158131	1.6790936639086314	0.8617159491861787
AOC2	17_40991696	DOWN	-0.1750216326871432	0.55029764158131	1.6790936639086314	0.8617159491861787
AOC3	17_40991696	DOWN	-0.36275631956846044	0.4038250331892598	1.214686073047176	1.3081977485107354
AOC3	17_40991696	DOWN	-0.36275631956846044	0.4038250331892598	1.214686073047176	1.3081977485107354
AP000349.1	22_24121031	"NA"	0	1	0	-0
AP000640.2	11_59434891	"NA"	0	1	0	-0
AP000662.4	11_57413535	"NA"	0	1	0	-0
AP000721.4	11_63736782	"NA"	0	1	0	-0
AP000911.1	11_133825146	"NA"	0	1	0	-0
AP001187.1	11_64655001	"NA"	0	1	0	-0
AP001258.4	11_58908445	"NA"	0	1	0	-0
AP001258.5	11_58908445	"NA"	0	1	0	-0
AP002498.1	11_76585797	"NA"	0	1	0	-0
AP003068.12	11_64881678	"NA"	0	1	0	-0
AP003068.9	11_64870012	"NA"	0	1	0	-0
AP003471.2	8_105436093	"NA"	0	1	0	-0
AP003471.3	8_105444374	"NA"	0	1	0	-0
AP003774.4	11_64207609	"NA"	0	1	0	-0
AP006216.10	11_116640801	"NA"	0	1	0	-0
AP006216.11	11_116640801	"NA"	0	1	0	-0
AP1G2	14_24036501	"NA"	-0.1372893734411118	0.5280317640549619	39.243927977017265	0.921303376541883
AP1S2	X_15871533	"NA"	0.533807167955529	0.17404522046531354	19.919445277027357	2.522465898784216
AP2A1	19_50264741	"NA"	-0.03997818334220948	0.8192051053671012	33.98682414666587	0.28770338850349286
AP3D1	19_2132391	"NA"	0.0731619992630046	0.5258369885914	43.169020484854556	0.9273124668521134
AP5Z1	7_4806557	"NA"	0.06836498237346333	0.7277903359736257	19.956213141388556	0.45840520053038725
APC2	19_1442968	DOWN	0.07244615240751928	0.7661161192784809	6.414974705689954	0.38436501864990086
