"logFC","AveExpr","P.Value","hgnc_symbol"
-5.6226278902255,1.7273004521539,0.0130827907963739,"TPSD1"
-3.50612700452886,5.30961401117548,3.43466934402738e-05,"SMIM24"
-3.16323089016516,-2.06700202117991,0.000238774522046707,"KCNK16"
-2.06981975878453,5.45908686920522,0.0147286935893044,"ABLIM1"
2.28701698348756,1.67975287578739,0.0144388599117388,"MACROH2A2"
1.56107199011811,1.32415907608238,0.0117082746833964,"CEP170B"
-3.89489669081161,3.27271919803973,0.00323728813521866,"PALM"
-1.77822703495774,-0.140355986882118,0.00766600671052511,"MMP11"
2.16130809779241,3.65124362651888,7.42129163506255e-06,"GGT1"
-3.65752160625879,0.776901216072807,0.0137708047317275,"SEZ6L"
2.01940350914556,6.40256775330227,0.00091026951439446,"LGALS1"
-1.59262267461383,-0.263323686171135,0.00133669850440963,"POLR2F"
-1.60956401779084,5.23189667826358,0.0124544413006285,"TTC28"
-1.80339322356812,0.81828189294706,0.0219752241651534,"DMC1"
1.98450752903174,3.39717088528145,0.00278526098091189,"HMOX1"
-2.72756758167399,-0.975568540074399,0.0169234560340406,"ACR"
2.05163045331342,-2.4861588497127,0.00614412519220197,"PNPLA3"
-1.99378227436703,3.57276349229055,0.014544365273023,"GRAP2"
-1.73828008694575,6.88123298683043,0.00990062525865523,"MLC1"
2.39581261370499,5.29792755395191,0.0392462165186177,"CTSG"
-1.66292107853802,2.29398359748564,0.0255406263130627,"LGMN"
1.73610534476443,0.98221236367746,0.000148859743664339,"ASB2"
-2.54204707885039,5.13367336966391,0.0115171427569559,"ARHGAP5"
-1.828979234042,4.61566369898481,0.00209612441569576,"SLA2"
-2.36268047665207,5.97209315270645,9.35074017849497e-05,"NFATC2"
1.50755527047821,2.02711511936724,0.000716713812285437,"PTK6"
2.05692359577318,4.84078179519083,0.00995884883971248,"SIRPB1"
1.94674948372752,-5.16060141104802,0.0156438107981714,"PDYN"
1.73058251541601,7.00482189825169,0.00210666025995641,"CST3"
1.8024674169178,1.32002236130898,1.9260379184301e-05,"MAP1LC3A"
-1.72073545293257,6.42792198206503,0.00020018824793505,"RNF125"
2.29903572167588,3.86618234580287,1.43434595604495e-07,"STS"
-2.18885584912906,0.756918431661604,0.0143300095505028,"ZDHHC15"
3.62487030159649,1.13651472109388,0.000369982309716931,"UGGT2"
-1.55909885417913,6.63893237286903,0.000466488452252217,"TSC22D1"
2.1143986977314,-2.52959591516254,0.00125745337658371,"CCL22"
1.56924422655421,-3.81595908169625,0.0274025042237999,"NECAB2"
-1.83582276236066,1.24638127233506,0.04284521325732,"WFDC1"
2.77036463601273,3.1372064266337,0.000163550251396889,"CRISPLD2"
1.93083628948727,3.28421891116775,0.0269845329372941,"MEFV"
-1.92768546944497,-1.41390585957497,0.00492716786898746,"CRYM"
2.39368409646013,0.254887840130826,0.000349946887391738,"SYT17"
2.83619769185715,0.86828631302266,0.000277814265021544,"CD276"
-1.85439348691649,4.07485149901685,0.00697706640494215,"HOMER2"
1.7354748145067,7.55752392033604,0.000352120572383099,"DMXL2"
1.64487246202506,4.89804690830931,0.0186562304838839,"CA2"
-2.59239106361661,2.32687918292487,0.00298749577188876,"NCALD"
1.51250666623299,0.740811671881589,0.000999428988223528,"CKM"
-1.96485830175399,-1.24670459647424,0.00166828139248271,"KLC3"
-1.85730735949766,0.859215319340766,0.00619951171990867,"AMH"
3.59424041618236,-0.178685435224182,0.000874823212402361,"TLE6"
1.62772110227235,0.460435468328146,0.0124810682040526,"KIR3DX1"
1.70655011774149,-1.80135199572938,0.026373920414968,"EBI3"
-4.76304667973078,0.684081533254422,0.00899891642404568,"SHD"
-1.73127204646534,-0.0240293793573002,0.00540712681704251,"TJP3"
-2.48164016911339,2.59469496472921,0.0474902947421248,"ICAM5"
-1.97619625296242,-0.751021509738706,0.001195739225147,"ELOCP28"
-3.30057929824902,-2.99146947523578,4.24611120324658e-11,"MAG"
-2.37277435745168,-2.39017028375195,0.000876076561306831,"HPN"
